"trt.name","mu","k","temporal.block","day.1","day.2","day.3","day.4","day.5","day.6","day.7","day.8","day.9","day.10","day.11","day.12","day.13","day.14","day.15","day.16","day.17","day.18","day.19","day.20","day.21","day.22","day.23","day.24","day.25","day.26","day.27","day.28","day.29","day.30","day.31","day.32","day.33","day.34","day.35","day.36","day.37","day.38","day.39","day.40","day.41","day.42","day.43","day.44","day.45","day.46","day.47","day.48","day.49","day.50","day.51","day.52","day.53","day.54","day.55","day.56","day.57","day.58","day.59","day.60","day.61","day.62","day.63","day.64","day.65","day.66","day.67","day.68"
"mu0.1k0.5",0.79,0.12,"a","1","sample","15.02","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","5.02","0","1","0","0","0","0","0","4","0","0","0","0","1","0","0","1","3","0","2","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu0.2k0.5",1.57,0.12,"c",NA,NA,"1","sample","29.13","0","0","0","0","0","1","1","0","0","0","0","0","0","0","3","0","15.3","0","0","0","0","0","0","0","12.7","0","1","0","0","1","0","0","6","0","0","0","1","2","0","0","2","5","0","4","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.4k0.5",3.14,0.12,"b",NA,"1","sample","57.33","0","0","0","0","0","3","1","0","0","0","0","0","0","0","5","0","30.09","0","0","0","0","0","0","0","25.64","0","2","0","0","1","0","0","9","0","1","0","2","4","1","0","3","8","0","7","0","0","21.23","6","0","0","0","0","1","0","0","0","0","0","0","0","sample",NA,"insects",NA
"mu0.6k0.5",4.71,0.12,"c",NA,NA,"1","sample","85.51","0","1","0","0","0","5","2","0","0","0","0","0","0","0","8","0","44.89","0","0","0","0","0","0","0","31.69","0","4","0","0","3","0","0","18.73","0","1","0","3","7","1","0","6","14.91","0","9.78","1","0","23.94","9","0","0","0","0","2","0","0","0","0","0","0","0","sample",NA,"insects"
"mu0.8k0.5",6.28,0.12,"a","1","sample","113.7","0","1","0","0","0","6","3","0","0","0","0","0","0","0","9","0","59.69","0","0","0","0","0","0","0","42.14","0","5","0","0","3","0","0","24.89","0","1","0","4","8","2","0","7","21.48","0","19.84","1","0","31.85","10","0","0","1","0","2","0","0","0","0","0","0","0","sample",NA,"insects",NA,NA
"mu1k0.5",7.86,0.12,"c",NA,NA,"1","sample","141.88","0","1","0","0","0","7","3","0","0","0","0","0","0","0","10","0","74.5","0","0","0","1","0","0","0","52.59","0","6","0","0","4","0","0","31.09","0","2","0","5","9","2","0","8","24.76","0","23.2","1","0","39.75","19.98","0","0","1","0","3","0","0","0","0","0","0","0","sample",NA,"insects"
"mu1.5k0.5",11.78,0.12,"b",NA,"1","sample","212.34","0","2","0","0","0","9","5","0","0","0","0","0","1","0","23.24","0","111.5","0","0","0","1","0","0","0","78.72","0","8","0","0","6","0","0","46.53","0","3","0","7","19.9","3","0","10","37.09","0","29.93","2","0","59.52","24.35","0","0","1","0","4","0","0","0","0","0","1","0","sample",NA,"insects",NA
"mu2k0.5",15.71,0.12,"a","1","sample","282.8","0","2","0","0","0","10","6","0","0","0","0","0","1","0","31.04","0","148.51","0","0","0","1","0","0","1","104.86","0","9","0","0","7","0","0","61.98","0","3","0","8","26.52","4","0","21.77","49.42","0","39.88","3","0","79.28","32.45","0","0","2","0","5","0","0","0","0","0","1","0","sample",NA,"insects",NA,NA
"mu2.5k0.5",19.64,0.12,"a","1","sample","353.26","0","3","0","0","0","18.39","8","0","0","0","0","0","1","0","33.14","0","185.52","0","0","0","2","0","1","1","130.99","0","15.1","0","0","9","0","0","77.44","0","5","0","12.35","27.21","6","0","22.34","61.74","0","49.83","4","0","99.04","40.55","0","0","2","0","7","0","0","0","0","0","1","0","sample",NA,"insects",NA,NA
"mu3k0.5",23.57,0.12,"b",NA,"1","sample","423.72","0","4","0","0","0","22.05","9","0","0","0","0","0","2","0","39.78","0","222.52","1","0","0","2","0","1","1","157.12","0","18.15","0","0","10.42","0","0","92.9","0","6","0","14.9","32.65","7","0","26.81","74.06","0","59.78","5","0","118.81","48.64","0","0","3","0","8","0","0","0","0","0","1","0","sample",NA,"insects",NA
"mu0.1k1",0.79,0.23,"c",NA,NA,"1","sample","6","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","0","5","0","0","0","0","0","0","0","4","0","1","0","0","1","0","0","3","0","0","0","1","1","0","0","1","2","0","2","0","0","3","2","0","0","0","0","1","0","0","0","0","0","0","0","sample",NA,"insects"
